ID,AssistsTotal,BlocksTotal,DefensiveReboundsTotal,DoubleDoubles,Efficiency,FieldGoals2PointsAttemptedTotal,FieldGoals2PointsMadeTotal,FieldGoals3PointsAttemptedTotal,FieldGoals3PointsMadeTotal,FreeThrowsAttemptedTotal,FreeThrowsMadeTotal,GamesPlayedTotal,LastName,MinutesTotal,OffensiveReboundsTotal,OfficialName,PersonalFoulsTotal,PlayerId,PlayerLink,PlusMinus,PointsTotal,Position,SecondsTotal,ShirtNumber,StealsTotal,TripleDoubles,TurnOversTotal,Country,FullName
207,7,0,3,0,24.0,0,0,9,4,2,1,5,Baburin,52,6,Evgenii Baburin (RUS),14,192410,/basketballworldcup/2019/player/Evgenii-Baburin,6,13,Point Guard,3127,N/A,3,0,2,RUS,Evgenii Baburin
208,14,2,29,1,92.0,23,14,20,8,13,12,5,Vorontsevich,139,6,Andrey Vorontsevich (RUS),13,154625,/basketballworldcup/2019/player/Andrey-Vorontsevich,44,64,Power Forward,8372,N/A,4,0,5,RUS,Andrey Vorontsevich
209,9,0,8,0,33.0,23,10,10,3,7,4,5,Fridzon,114,4,Vitaly Fridzon (RUS),11,147215,/basketballworldcup/2019/player/Vitaly-Fridzon,8,33,Shooting Guard,6883,N/A,8,0,6,RUS,Vitaly Fridzon
210,2,0,9,0,30.0,14,8,1,1,6,4,5,Ivlev,74,4,Vladimir Ivlev (RUS),14,160971,/basketballworldcup/2019/player/Vladimir-Ivlev,32,23,Center,4488,N/A,3,0,3,RUS,Vladimir Ivlev
211,4,0,1,0,9.0,3,3,4,1,0,0,4,Sopin,24,0,Andrei Sopin (RUS),4,204933,/basketballworldcup/2019/player/Andrei-Sopin,-5,9,Point Guard,1495,N/A,1,0,3,RUS,Andrei Sopin
212,6,0,5,0,6.0,15,7,10,2,7,3,5,Motovilov,72,0,Grigory Motovilov (RUS),8,225989,/basketballworldcup/2019/player/Grigory-Motovilov,3,23,Point Guard,4355,N/A,2,0,10,RUS,Grigory Motovilov
213,23,0,14,0,48.0,41,17,13,2,5,5,5,Browne,120,4,Gary Browne (PUR),9,173533,/basketballworldcup/2019/player/Gary-Browne,-17,45,Guard,7223,N/A,5,0,8,PUR,Gary Browne
214,12,0,9,0,27.0,18,6,13,3,14,12,5,Rodriguez,84,5,Angel Rodriguez (PUR),14,176310,/basketballworldcup/2019/player/Angel-Rodriguez,-34,33,Point Guard,5078,N/A,5,0,13,PUR,Angel Rodriguez
215,7,0,11,0,26.0,19,6,22,5,12,9,5,Clavell,93,5,Gian Clavell (PUR),4,235537,/basketballworldcup/2019/player/Gian-Clavell,-32,36,Guard,5602,N/A,3,0,3,PUR,Gian Clavell
216,10,1,8,0,53.0,32,17,25,10,8,7,5,Huertas,132,1,David Huertas (PUR),10,143411,/basketballworldcup/2019/player/David-Huertas,-28,71,Shooting Guard,7924,N/A,1,0,8,PUR,David Huertas
